sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
0,0.260986328125,32,1.4541015625,4.96484375,0.72900390625,0.06088867187500001,-6799.2375,0.0008499999999999599,0.031186879588642864,1.250273538918305,1.3275114963113885,1.3114444049587048
1,2.553466796875,32,1.4541015625,4.96484375,0.72900390625,0.06088867187500001,4804.6625,0.0044041666666666405,0.027289755347399643,1.2438262778837161,0.6503221865585671,0.6848352518456944
2,0.260986328125,128,1.4541015625,4.96484375,0.72900390625,0.06088867187500001,-6543.740625,0.00047812499999998003,0.10399949383388433,1.2588282877894403,1.240434079915064,1.1424564333016956
3,0.260986328125,32,0.8779296875,4.96484375,0.72900390625,0.06088867187500001,-7341.484375,0.00065416666666662,0.01871377570105616,1.2379530409006658,1.3639947420824527,1.3509770351153076
4,0.260986328125,32,1.4541015625,4.66015625,0.72900390625,0.06088867187500001,-6810.4296875,0.0008458333333333,0.03118266072134284,1.2601101685615732,1.3371921422272153,1.3135820673753855
5,0.260986328125,32,1.4541015625,4.96484375,0.98876953125,0.06088867187500001,-7120.75,0.0007416666666666199,0.031171813315110743,1.2415624723561016,1.347861593341864,1.3275835948424644
6,0.260986328125,32,1.4541015625,4.96484375,0.72900390625,0.08795898437500001,-6799.2375,0.0008499999999999599,0.031186879588642857,1.250273538918305,1.3275114963113885,1.3114444049587046
7,0.260986328125,128,0.8779296875,4.66015625,0.98876953125,0.08795898437500001,-8026.1,0.0004864583333333,0.07672695810793292,1.2481272318701977,1.3634701152593707,1.3438551639107705
8,2.553466796875,32,0.8779296875,4.66015625,0.98876953125,0.08795898437500001,3796.70625,0.00409999999999998,0.016717049831784098,1.3384434441149289,0.722759524613865,0.7649095535647427
9,2.553466796875,128,1.4541015625,4.66015625,0.98876953125,0.08795898437500001,-403.609375,0.00290416666666662,0.12195278501886578,1.2822690769447807,0.9205016702242489,0.9185479712195894
10,2.553466796875,128,0.8779296875,4.96484375,0.98876953125,0.08795898437500001,-2492.739453125,0.0022052083333333,0.07356016906027085,1.2557844365501591,1.0635723915591384,1.0512920313164131
11,2.553466796875,128,0.8779296875,4.66015625,0.72900390625,0.08795898437500001,-2631.00390625,0.0021729166666666602,0.07395166296572678,1.269214783090317,1.0512804351155531,1.011540081358185
12,2.553466796875,128,0.8779296875,4.66015625,0.98876953125,0.06088867187500001,-2989.109765625,0.00199687499999996,0.07235217894870132,1.2569194575456493,1.1018240169057116,1.058455909706614
13,2.553466796875,128,0.8779296875,4.66015625,0.98876953125,0.08795898437500001,-2841.75625,0.00210104166666664,0.07391044320328252,1.2757365491799113,1.0823319444822368,1.0330466024303189
14,2.135986328125,128,0.9541015625,2.96484375,0.97900390625,0.015888671875000003,-2815.1171875,0.00155416666666662,0.06308621335073208,1.1945762680838352,0.9959337157404203,0.9443938129862584
15,0.678466796875,128,0.9541015625,2.96484375,0.97900390625,0.015888671875000003,-5008.4828125,0.00056666666666664,0.05497283095719556,1.1904467347579852,1.0722104480053454,0.9509702464310188
16,2.135986328125,64,0.9541015625,2.96484375,0.97900390625,0.015888671875000003,-1546.965625,0.00224166666666662,0.035850796691588575,1.1840965668758314,0.9651870015597799,0.9405685294157367
17,2.135986328125,128,1.3779296875,2.96484375,0.97900390625,0.015888671875000003,-1752.546875,0.0018427083333332997,0.0881242616926082,1.1972272868011875,0.9288708192222771,0.8980234237856031
18,2.135986328125,128,0.9541015625,2.66015625,0.97900390625,0.015888671875000003,-2490.680078125,0.00166354166666664,0.0631270205607927,1.181838281167042,0.9567369320241521,0.9057663343748583
19,2.135986328125,128,0.9541015625,2.96484375,0.73876953125,0.015888671875000003,-2733.519140625,0.00155312499999994,0.06220222423390622,1.2145381252203102,0.9938588799253957,0.9084831067165279
20,2.135986328125,128,0.9541015625,2.96484375,0.97900390625,0.04295898437500001,-2822.06953125,0.0015968749999999599,0.06449543415915812,1.2040699461744204,0.9880260018815707,0.943064220787103
21,2.135986328125,64,1.3779296875,2.66015625,0.73876953125,0.04295898437500001,-338.97109375,0.00266041666666664,0.05215717025506052,1.1923847243367884,0.9457849957894027,0.921318508965123
22,0.678466796875,128,1.3779296875,2.66015625,0.73876953125,0.04295898437500001,-4635.783984375,0.0006968749999999999,0.07964874984209933,1.2031312259241957,1.0185539018652654,0.9273558555820178
23,0.678466796875,64,0.9541015625,2.66015625,0.73876953125,0.04295898437500001,-6138.03203125,0.0009416666666666601,0.03953545411203712,1.2205891498542445,1.2759149877100673,1.1939756411051718
24,0.678466796875,64,1.3779296875,2.96484375,0.73876953125,0.04295898437500001,-5076.55234375,0.00105416666666662,0.05150900223399076,1.2286461736382792,1.1603712798078973,1.079799753306738
25,0.678466796875,64,1.3779296875,2.66015625,0.97900390625,0.04295898437500001,-5405.3015625,0.0009312499999999601,0.05119432369662939,1.1956496595298638,1.1505093114405196,1.0320369330869719
26,0.678466796875,64,1.3779296875,2.66015625,0.73876953125,0.015888671875000003,-4511.65234375,0.0008416666666666199,0.042141711282793336,1.1947228314425242,1.037772863687327,0.9426654680880515
27,0.678466796875,64,1.3779296875,2.66015625,0.73876953125,0.04295898437500001,-5308.096875,0.00097499999999996,0.05146075659027756,1.2084963216218476,1.1369781983765104,1.0675346452201846
28,3.073486328125,8,1.2041015625,3.96484375,0.85400390625,0.038388671875,19599.8375,0.00851666666666662,0.0025450152331934804,1.3386693068172089,0.9339730009802334,0.9426424728507001
29,3.490966796875,8,1.2041015625,3.96484375,0.85400390625,0.038388671875,19472.23125,0.00844999999999998,0.00247739738100538,1.2972090928639857,0.9202630484340363,0.9306493940204433
30,3.073486328125,32,1.2041015625,3.96484375,0.85400390625,0.038388671875,7056.665625,0.00506249999999998,0.021644729456617738,1.3098415866774342,0.6875648818094348,0.72113417435698
31,3.073486328125,8,1.1279296875,3.96484375,0.85400390625,0.038388671875,19439.25625,0.008483333333333301,0.00243261963883214,1.332693847385582,0.8849226167181572,0.8985744529050408
32,3.073486328125,8,1.2041015625,1.66015625,0.85400390625,0.038388671875,19500.34375,0.008483333333333301,0.0025192680926905,1.320072246448112,1.100642167942337,1.1208313651391366
33,3.073486328125,8,1.2041015625,3.96484375,0.61376953125,0.038388671875,19781.44375,0.00858333333333328,0.0025488257479818394,1.3403557135201587,0.8630955176498644,0.8821000682152302
34,3.073486328125,8,1.2041015625,3.96484375,0.85400390625,0.020458984375000003,19224.25,0.008383333333333281,0.00250420571652898,1.3215070374369744,0.9104376192589495,0.9237700825483846
35,3.073486328125,32,1.1279296875,1.66015625,0.61376953125,0.020458984375000003,6630.1671875,0.00486666666666662,0.01975000078153202,1.2508741890745334,1.069865206400613,1.0736744340569573
36,3.490966796875,8,1.1279296875,1.66015625,0.61376953125,0.020458984375000003,18992.875,0.008283333333333281,0.00230869143367892,1.2659454451404448,1.0604024407277817,1.0808091211097697
37,3.490966796875,32,1.2041015625,1.66015625,0.61376953125,0.020458984375000003,8799.2125,0.005533333333333321,0.020500172581657903,1.2667514815555916,1.0548431846093822,1.0877533667876806
38,3.490966796875,32,1.1279296875,3.96484375,0.61376953125,0.020458984375000003,8480.5625,0.00544166666666662,0.0193454372096405,1.2371935667047942,0.6906550952941884,0.6888440537422198
