sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
42,3.70703125,128,1.078125,4.6875,0.8828125,0.03671875,-223.29296875,0.002529296875,0.0773419945521634,1.2615084979767626,0.6930719234817698,0.740284964958108
43,3.70703125,64,1.109375,4.6875,0.8828125,0.03671875,1838.31640625,0.00396484375,0.042764919496389,1.3224527385378335,0.7082487792820686,0.7658810689519435
44,3.70703125,64,1.078125,1.6875,0.8828125,0.03671875,2045.08203125,0.00408203125,0.0413362299771976,1.2386149900554215,1.153848290565882,1.17517659558631
45,3.70703125,64,1.078125,4.6875,0.5078125,0.03671875,1369.31640625,0.00369140625,0.041919571235115,1.2618140968757794,0.6889706748686605,0.6856496677520694
46,3.70703125,64,1.078125,4.6875,0.8828125,0.01703125,1922.01953125,0.003984375,0.0409662886116189,1.226574220156796,0.8180126768101851,0.7773727671962227
47,0.89453125,128,1.109375,1.6875,0.5078125,0.01703125,-2418.1484375,0.000849609375,0.0682543124156035,1.2074471408629543,0.8927436882920607,0.9630078545538884
48,2.76953125,64,0.828125,1.6875,0.7578125,0.01421875,-617.54296875,0.0023046875,0.0301588211718741,1.2373685167439965,1.0702337110558977,1.1036467746410974
49,3.70703125,64,0.828125,1.6875,0.7578125,0.01421875,1372.16015625,0.00353515625,0.0299843851371678,1.256816663623434,1.1306883543703627,1.171020551568004
50,2.76953125,64,0.828125,1.6875,0.7578125,0.01421875,-617.54296875,0.0023046875,0.0301588211718741,1.2373685167439965,1.0702337110558977,1.1036467746410974
51,2.76953125,64,1.359375,1.6875,0.7578125,0.01421875,1029.6484375,0.00328125,0.0482793712098107,1.2397181344228476,1.134980747014862,1.159056011083476
52,2.76953125,64,0.828125,2.6875,0.7578125,0.01421875,199.078125,0.0027734375,0.0295728033985727,1.2596673456399945,0.8580968453271429,0.842447294856517
53,2.76953125,64,0.828125,1.6875,0.6328125,0.01421875,50.54296875,0.0027734375,0.0308713399710606,1.2404995646093266,1.029120366696234,1.0536123040262289
54,2.76953125,64,0.828125,1.6875,0.7578125,0.039531250000000004,-369.34375,0.00267578125,0.0331831023410156,1.2508727343542672,1.010187609098967,1.0418614987167685
55,3.70703125,64,1.359375,2.6875,0.6328125,0.039531250000000004,2572.48828125,0.00447265625,0.0535148636027831,1.2666236260959989,0.890331572648603,0.9288092339629124
56,0.89453125,128,1.328125,3.6875,0.5078125,0.05921875000000001,-2471.69921875,0.001064453125,0.0926068052007176,1.200941173666915,0.7093410003247069,0.6460528528663749
57,1.83203125,128,1.328125,3.6875,0.5078125,0.05921875000000001,-1076.267578125,0.001982421875,0.0945819438422624,1.309662714718102,0.6859755142769338,0.6667322533457621
58,0.89453125,16,1.328125,3.6875,0.5078125,0.05921875000000001,-913.0,0.0025,0.0132606563826899,1.3441535367789448,0.6315516971656467,0.5336066537040527
59,0.89453125,128,0.859375,3.6875,0.5078125,0.05921875000000001,-3482.8125,0.000810546875,0.0704499032116995,1.272168835553595,0.8712539751453774,0.5766737528216627
60,0.89453125,128,1.328125,4.6875,0.5078125,0.05921875000000001,-2471.69921875,0.001064453125,0.0926068052007176,1.2015400509009604,0.7062295711624872,0.644013933246756
61,0.89453125,128,1.328125,3.6875,0.8828125,0.05921875000000001,-2387.4375,0.001103515625,0.0920208374573329,1.2303296489673246,0.7315810850747118,0.6847898545654462
62,0.89453125,128,1.328125,3.6875,0.5078125,0.08453125,-3069.529296875,0.00123046875,0.1156481037481162,1.2693068106504473,1.0154467767892943,0.5721067379747413
63,1.83203125,16,0.859375,4.6875,0.8828125,0.08453125,3156.78125,0.00484375,0.0078495993593196,1.2377431806566488,0.7606397798908735,0.8476383079697521
64,1.12890625,16,0.765625,4.9375,0.8515625,0.07609375,90.546875,0.00296875,0.0071169198456439,1.4284020831443025,0.5133635710695058,0.5051649472623932
65,3.00390625,16,0.765625,4.9375,0.8515625,0.07609375,7570.5625,0.00703125,0.0050778636070707,1.2804054437753944,0.8703837436302636,0.8860068504012127
66,1.12890625,64,0.765625,4.9375,0.8515625,0.07609375,-3433.15234375,0.0009765625,0.0334155507229284,1.250320774032292,1.0613691595562609,0.6358761273546147
67,1.12890625,16,0.546875,4.9375,0.8515625,0.07609375,-814.125,0.002421875,0.0051286131312257,1.208138080215239,0.6947851344170115,0.6823569828932026
68,1.12890625,16,0.765625,2.4375,0.8515625,0.07609375,-19.265625,0.002890625,0.0070849575856986,1.3157292871883195,0.9938731564759684,0.912057822452706
69,1.12890625,16,0.765625,4.9375,0.9140625,0.07609375,90.546875,0.00296875,0.0071169198456439,1.4281692109372404,0.523592175503227,0.5161832347178741
70,1.12890625,16,0.765625,4.9375,0.8515625,0.09015625000000001,90.546875,0.00296875,0.0071169198456439,1.4284020831443025,0.5133635710695058,0.5051649472623932
71,3.00390625,64,0.546875,2.4375,0.9140625,0.09015625000000001,-384.921875,0.0026953125,0.0221837173823461,1.223107205250216,0.9584715427973928,0.9208642353606352
72,3.00390625,64,1.265625,2.9375,0.6015625,0.031093750000000003,287.3828125,0.00298828125,0.0486176028616935,1.175836299620294,0.7696863910053151,0.7550939747368717
73,1.12890625,64,1.265625,2.9375,0.6015625,0.031093750000000003,-2222.44921875,0.00119140625,0.043705469011545,1.265215506696192,0.6413100347906922,0.628390398999179
74,3.00390625,128,1.265625,2.9375,0.6015625,0.031093750000000003,-89.529296875,0.00255859375,0.0885664527482571,1.2518865667446657,0.8062813770810621,0.8400330690686575
75,3.00390625,64,1.046875,2.9375,0.6015625,0.031093750000000003,342.765625,0.0029296875,0.0385615028228177,1.2831504423469589,0.8046567364915844,0.7732223310238581
76,3.00390625,64,1.265625,4.4375,0.6015625,0.031093750000000003,58.546875,0.00283203125,0.0483273904380533,1.1937595319029255,0.6198510517794988,0.6571512545672542
77,3.00390625,64,1.265625,2.9375,0.6640625,0.031093750000000003,851.30078125,0.00328125,0.0473357325004342,1.2086720241034348,0.790532281691464,0.7765291561685705
78,3.00390625,64,1.265625,2.9375,0.6015625,0.04515625000000001,643.31640625,0.00328125,0.0501084335986538,1.2041618002135988,0.742353557890316,0.7029942219402574
79,1.12890625,128,1.046875,4.4375,0.6640625,0.04515625000000001,-2115.55859375,0.00111328125,0.0670108916913808,1.2693581004356154,0.6814145432076328,0.6725460650147151
80,3.94140625,32,0.515625,3.9375,0.7265625,0.05359375000000001,4328.921875,0.005390625,0.0091532895722804,1.2585035214652438,0.822765522645095,0.8342515777110114
