sample_id,seed,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
21,7,3.23828125,8,1.453125,4.1875,0.8203125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312046,1.3511204307063351,0.9336515662560091,0.9519985102793542
22,7,3.23828125,8,1.453125,4.1875,0.9453125,0.02828125,9306.25,0.00796875,0.0036054762757312046,1.3503704312911156,0.9683639846056329,0.990724660349145
18,7,3.23828125,64,1.453125,4.1875,0.9453125,0.025468750000000002,2373.16015625,0.0042578125,0.055005560564053334,1.3027296906855428,0.8528804800578548,0.8788617260180819
23,7,2.30078125,64,0.734375,4.1875,0.8203125,0.02828125,-1248.99609375,0.00201171875,0.028010100746023545,1.3294493772316094,0.6883081888947719,0.6762667680742915
24,7,1.36328125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-2736.921875,0.00134765625,0.04058740964486738,1.171002419481561,0.7644318101865419,0.7093278927639315
25,7,0.42578125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-4164.72265625,0.00046875,0.04071971465029231,1.1167281879314204,0.6979174045855379,0.5772637867920509
27,7,1.36328125,64,1.234375,2.1875,0.6953125,0.07046875000000001,-2107.62890625,0.00171875,0.05209400317752852,1.151802150640565,0.8286901844270327,0.7480010711171775
26,7,1.36328125,128,0.953125,2.1875,0.6953125,0.07046875000000001,-2857.666015625,0.001259765625,0.07978665123069272,1.212998410433452,0.8078499441904784,0.6766016977861358
28,7,1.36328125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-2736.921875,0.00134765625,0.04058740964486738,1.171002419481561,0.7644318101865419,0.7093278927639315
29,7,1.36328125,64,0.953125,2.1875,0.5703125,0.07046875000000001,-2578.2109375,0.0014453125,0.040554639992415174,1.2485263275856175,0.7929146626319146,0.6651917827487281
30,7,1.36328125,64,0.953125,2.1875,0.6953125,0.07328125,-2736.921875,0.00134765625,0.04058740964486738,1.171002419481561,0.7644318101865419,0.7093278927639315
32,7,1.83203125,32,0.578125,2.6875,0.6328125,0.08171875,-1168.046875,0.002265625,0.011805545860351598,1.2315273025316853,0.7957951850311938,0.7525252428811513
33,7,2.76953125,32,0.578125,2.6875,0.6328125,0.08171875,1477.15625,0.0037890625,0.011162361483708715,1.250442541856976,0.7822127832022076,0.7709118446034239
31,7,0.42578125,128,1.234375,2.1875,0.5703125,0.07328125,-3914.6875,0.000625,0.10432375763866965,1.1936252042502413,0.9222377865417892,0.6071994333417075
34,7,1.83203125,32,0.578125,2.6875,0.6328125,0.08171875,-1168.046875,0.002265625,0.011805545860351598,1.2315273025316853,0.7957951850311938,0.7525252428811513
35,7,1.83203125,32,0.609375,2.6875,0.6328125,0.08171875,-397.0859375,0.0026953125,0.012171968648632948,1.1783982473310426,0.8569923328957783,0.7823931951119559
36,7,1.83203125,32,0.578125,3.6875,0.6328125,0.08171875,-433.8671875,0.002734375,0.011848745071119144,1.211531062908752,0.6711546466646844,0.6479560870018131
37,7,1.83203125,32,0.578125,2.6875,0.7578125,0.08171875,-347.25,0.0027734375,0.011781680005011412,1.1797716185182583,0.7234073691316663,0.7163695467434799
38,7,1.83203125,32,0.578125,2.6875,0.6328125,0.06203125000000001,-1168.046875,0.002265625,0.011805545860351598,1.2315273025316853,0.7957951850311938,0.7525252428811513
39,7,2.76953125,32,0.609375,3.6875,0.7578125,0.06203125000000001,1843.1484375,0.0040625,0.012002225542222123,1.259247710328069,0.7712426851512978,0.7543067139787607
40,7,3.70703125,64,1.078125,4.6875,0.8828125,0.03671875,1800.91015625,0.00396484375,0.041982293645258066,1.2098728134449857,0.7950415220232274,0.7530615437585149
41,7,0.89453125,64,1.078125,4.6875,0.8828125,0.03671875,-2790.63671875,0.0009765625,0.03979626168079761,1.24684326891484,0.6677043160999063,0.5815376759486819
43,7,3.70703125,64,1.109375,4.6875,0.8828125,0.03671875,1838.31640625,0.00396484375,0.042764919496389095,1.3224527385378335,0.7082487792820686,0.7658810689519435
42,7,3.70703125,128,1.078125,4.6875,0.8828125,0.03671875,-223.29296875,0.002529296875,0.07734199455216349,1.2615084979767626,0.6930719234817698,0.740284964958108
44,7,3.70703125,64,1.078125,1.6875,0.8828125,0.03671875,2045.08203125,0.00408203125,0.04133622997719765,1.2386149900554217,1.153848290565882,1.17517659558631
45,7,3.70703125,64,1.078125,4.6875,0.5078125,0.03671875,1369.31640625,0.00369140625,0.041919571235115055,1.2618140968757794,0.6889706748686605,0.6856496677520694
46,7,3.70703125,64,1.078125,4.6875,0.8828125,0.01703125,1922.01953125,0.003984375,0.04096628861161897,1.226574220156796,0.8180126768101851,0.7773727671962227
48,7,2.76953125,64,0.828125,1.6875,0.7578125,0.01421875,-617.54296875,0.0023046875,0.030158821171874132,1.2373685167439965,1.0702337110558977,1.1036467746410974
47,7,0.89453125,128,1.109375,1.6875,0.5078125,0.01703125,-2418.1484375,0.000849609375,0.06825431241560351,1.2074471408629543,0.8927436882920607,0.9630078545538885
49,7,3.70703125,64,0.828125,1.6875,0.7578125,0.01421875,1372.16015625,0.00353515625,0.029984385137167845,1.2568166636234341,1.1306883543703627,1.171020551568004
50,7,2.76953125,64,0.828125,1.6875,0.7578125,0.01421875,-617.54296875,0.0023046875,0.030158821171874132,1.2373685167439965,1.0702337110558977,1.1036467746410974
51,7,2.76953125,64,1.359375,1.6875,0.7578125,0.01421875,1029.6484375,0.00328125,0.04827937120981078,1.2397181344228476,1.134980747014862,1.159056011083476
52,7,2.76953125,64,0.828125,2.6875,0.7578125,0.01421875,199.078125,0.0027734375,0.029572803398572763,1.2596673456399943,0.8580968453271429,0.842447294856517
53,7,2.76953125,64,0.828125,1.6875,0.6328125,0.01421875,50.54296875,0.0027734375,0.030871339971060667,1.2404995646093266,1.0291203666962339,1.0536123040262289
54,7,2.76953125,64,0.828125,1.6875,0.7578125,0.039531250000000004,-369.34375,0.00267578125,0.033183102341015694,1.2508727343542672,1.010187609098967,1.0418614987167683
55,7,3.70703125,64,1.359375,2.6875,0.6328125,0.039531250000000004,2572.48828125,0.00447265625,0.05351486360278313,1.2666236260959989,0.890331572648603,0.9288092339629123
56,7,0.89453125,128,1.328125,3.6875,0.5078125,0.05921875000000001,-2471.69921875,0.001064453125,0.09260680520071767,1.200941173666915,0.7093410003247069,0.6460528528663749
58,7,0.89453125,16,1.328125,3.6875,0.5078125,0.05921875000000001,-913.0,0.0025,0.013260656382689988,1.3441535367789448,0.6315516971656467,0.5336066537040527
57,7,1.83203125,128,1.328125,3.6875,0.5078125,0.05921875000000001,-1076.267578125,0.001982421875,0.09458194384226246,1.3096627147181021,0.6859755142769338,0.6667322533457621
60,7,0.89453125,128,1.328125,4.6875,0.5078125,0.05921875000000001,-2471.69921875,0.001064453125,0.09260680520071767,1.2015400509009604,0.7062295711624872,0.644013933246756
59,7,0.89453125,128,0.859375,3.6875,0.5078125,0.05921875000000001,-3482.8125,0.000810546875,0.07044990321169953,1.272168835553595,0.8712539751453774,0.5766737528216627
61,7,0.89453125,128,1.328125,3.6875,0.8828125,0.05921875000000001,-2387.4375,0.001103515625,0.0920208374573329,1.2303296489673246,0.7315810850747118,0.6847898545654462
62,7,0.89453125,128,1.328125,3.6875,0.5078125,0.08453125,-3069.529296875,0.00123046875,0.11564810374811627,1.2693068106504473,1.0154467767892945,0.5721067379747413
63,7,1.83203125,16,0.859375,4.6875,0.8828125,0.08453125,3156.78125,0.00484375,0.007849599359319606,1.2377431806566488,0.7606397798908735,0.8476383079697521
64,7,1.12890625,16,0.765625,4.9375,0.8515625,0.07609375,90.546875,0.00296875,0.0071169198456439145,1.4284020831443025,0.5133635710695058,0.5051649472623932
65,7,3.00390625,16,0.765625,4.9375,0.8515625,0.07609375,7570.5625,0.00703125,0.005077863607070731,1.2804054437753944,0.8703837436302636,0.8860068504012127
67,7,1.12890625,16,0.546875,4.9375,0.8515625,0.07609375,-814.125,0.002421875,0.0051286131312257245,1.208138080215239,0.6947851344170115,0.6823569828932026
68,7,1.12890625,16,0.765625,2.4375,0.8515625,0.07609375,-19.265625,0.002890625,0.007084957585698683,1.3157292871883197,0.9938731564759684,0.912057822452706
66,7,1.12890625,64,0.765625,4.9375,0.8515625,0.07609375,-3433.15234375,0.0009765625,0.03341555072292846,1.250320774032292,1.0613691595562607,0.6358761273546147
69,7,1.12890625,16,0.765625,4.9375,0.9140625,0.07609375,90.546875,0.00296875,0.0071169198456439145,1.4281692109372404,0.523592175503227,0.5161832347178741
70,7,1.12890625,16,0.765625,4.9375,0.8515625,0.09015625000000001,90.546875,0.00296875,0.0071169198456439145,1.4284020831443025,0.5133635710695058,0.5051649472623932
71,7,3.00390625,64,0.546875,2.4375,0.9140625,0.09015625000000001,-384.921875,0.0026953125,0.02218371738234615,1.223107205250216,0.9584715427973927,0.9208642353606353
