sample_id,seed,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
2,7,0.337890625,32,1.3203125,4.34375,0.82421875,0.05007812500000001,-5691.703125,0.000703125,0.02784289153696573,1.2337285617771783,1.3651204305996876,1.3248912063908445
2,8,0.337890625,32,1.3203125,4.34375,0.82421875,0.05007812500000001,-5332.03125,0.000859375,0.027910927791094935,1.2344155757011035,1.2997645280390038,1.218730999737958
1,7,2.740234375,64,1.3203125,4.34375,0.82421875,0.05007812500000001,418.40234375,0.0029817708333333332,0.05073118486897593,1.2165690070843789,0.8510410691655954,0.8346817846083663
0,7,0.337890625,64,1.3203125,4.34375,0.82421875,0.05007812500000001,-5805.83984375,0.0005338541666666666,0.053902089810365816,1.2626283230746251,1.2727908699243036,1.197273513498953
3,7,0.337890625,64,1.2421875,4.34375,0.82421875,0.05007812500000001,-5800.17578125,0.0006380208333333333,0.05281267412370342,1.2339253158693761,1.3094177042155175,1.2204600870694788
3,8,0.337890625,64,1.2421875,4.34375,0.82421875,0.05007812500000001,-5974.59765625,0.0005598958333333334,0.05273428033151845,1.2561420416111124,1.3074698156937248,1.2234781929192322
4,7,0.337890625,64,1.3203125,1.46875,0.82421875,0.05007812500000001,-5552.8828125,0.000625,0.053587549091851185,1.1765792018581707,0.9261477336532709,0.870284952346985
0,8,0.337890625,64,1.3203125,4.34375,0.82421875,0.05007812500000001,-5274.6328125,0.00078125,0.05445750765809329,1.2442763451413656,1.1904148528076188,1.1533382913852013
1,8,2.740234375,64,1.3203125,4.34375,0.82421875,0.05007812500000001,702.5546875,0.0031510416666666666,0.051844609761541885,1.2494103801754453,0.8320123801793781,0.8317322540285056
4,8,0.337890625,64,1.3203125,1.46875,0.82421875,0.05007812500000001,-5524.234375,0.0006380208333333333,0.053584747231774275,1.1872306634728063,0.9520717723902781,0.8132137275073325
7,7,2.740234375,32,1.2421875,1.46875,0.97265625,0.030390625000000004,2941.7421875,0.004036458333333334,0.0233966228635086,1.2850925740414456,1.140380852351718,1.1889252200998757
7,8,2.740234375,32,1.2421875,1.46875,0.97265625,0.030390625000000004,3773.953125,0.004296875,0.022474735025772467,1.2403247956650303,1.1683810181924061,1.19481977666481
5,7,0.337890625,64,1.3203125,4.34375,0.97265625,0.05007812500000001,-5814.87109375,0.0005208333333333333,0.05369548203268535,1.2634349208316702,1.3190302784557293,1.2155311481189077
5,8,0.337890625,64,1.3203125,4.34375,0.97265625,0.05007812500000001,-5370.3828125,0.0007291666666666667,0.05418471833375491,1.2307557255120445,1.2957758527654588,1.1588414591563614
6,8,0.337890625,64,1.3203125,4.34375,0.82421875,0.030390625000000004,-4444.16015625,0.0005078125,0.040660751857305395,1.2566887608654698,1.0712314309018014,0.8633951576345894
6,7,0.337890625,64,1.3203125,4.34375,0.82421875,0.030390625000000004,-4311.19921875,0.0005078125,0.03941527121024239,1.1827262437396375,0.931593968999417,0.8266396280454692
10,7,2.212890625,64,0.8203125,2.34375,0.57421875,0.095078125,-1736.67578125,0.0022786458333333335,0.03419737402738219,1.25801720314861,1.0249841121095873,0.9936698147577139
10,8,2.212890625,64,0.8203125,2.34375,0.57421875,0.095078125,-2253.359375,0.002018229166666667,0.033586673485797115,1.18880826990788,1.0086617103902413,0.9997381257269745
8,8,2.212890625,128,0.8203125,2.34375,0.57421875,0.095078125,-3255.287109375,0.00169921875,0.06914445078840098,1.242339589329968,1.0524497542978533,1.0164614996151833
8,7,2.212890625,128,0.8203125,2.34375,0.57421875,0.095078125,-3424.654296875,0.0016471354166666668,0.06962278879598396,1.2597571007247226,1.053046007782342,1.0097114182403024
9,8,0.865234375,128,0.8203125,2.34375,0.57421875,0.095078125,-4835.5078125,0.0010546875,0.06937995605379815,1.20085014903612,1.15203020388434,1.102445603173609
9,7,0.865234375,128,0.8203125,2.34375,0.57421875,0.095078125,-5053.20703125,0.0009765625,0.06968048030264638,1.2436528163703067,1.1347674559968213,1.0797778691137747
11,7,2.212890625,128,0.7421875,2.34375,0.57421875,0.095078125,-3004.9609375,0.0017708333333333332,0.06183767852845072,1.2068054475789434,1.0185134557739817,0.9730285328906063
11,8,2.212890625,128,0.7421875,2.34375,0.57421875,0.095078125,-3016.86328125,0.00177734375,0.06202514605900087,1.227824768808615,1.0381501342848942,1.006229695186784
12,7,2.212890625,128,0.8203125,3.46875,0.57421875,0.095078125,-2586.263671875,0.0019921875,0.06958663865987329,1.271211639684902,1.0035868027931794,0.9483443531943396
16,7,3.150390625,32,1.0703125,3.34375,0.69921875,0.07257812500000001,5451.375,0.005078125,0.02013025160037592,1.3273072750938715,0.7831502619115778,0.8402977128963303
