sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
0,0.337890625,64,1.3203125,4.34375,0.82421875,0.05007812500000001,-5540.236328125,0.0006575520833332999,0.0541797987342295,1.2534523341079953,1.2316028613659613,1.175305902442077
1,2.740234375,64,1.3203125,4.34375,0.82421875,0.05007812500000001,560.478515625,0.00306640624999995,0.051287897315258846,1.232989693629912,0.8415267246724867,0.833207019318436
2,0.337890625,32,1.3203125,4.34375,0.82421875,0.05007812500000001,-5511.8671875,0.00078125,0.0278769096640303,1.2340720687391409,1.3324424793193457,1.2718111030644013
3,0.337890625,64,1.2421875,4.34375,0.82421875,0.05007812500000001,-5887.38671875,0.0005989583333333,0.0527734772276109,1.2450336787402443,1.308443759954621,1.2219691399943555
4,0.337890625,64,1.3203125,1.46875,0.82421875,0.05007812500000001,-5538.55859375,0.00063151041666665,0.05358614816181265,1.1819049326654887,0.9391097530217745,0.8417493399271587
5,0.337890625,64,1.3203125,4.34375,0.97265625,0.05007812500000001,-5592.626953125,0.00062499999999995,0.0539401001832201,1.2470953231718573,1.3074030656105942,1.1871863036376344
6,0.337890625,64,1.3203125,4.34375,0.82421875,0.030390625000000004,-4377.6796875,0.0005078125,0.0400380115337738,1.2197075023025536,1.0014126999506092,0.8450173928400293
7,2.740234375,32,1.2421875,1.46875,0.97265625,0.030390625000000004,3357.84765625,0.00416666666666665,0.0229356789446405,1.262708684853238,1.154380935272062,1.191872498382343
8,2.212890625,128,0.8203125,2.34375,0.57421875,0.095078125,-3339.970703125,0.0016731770833333,0.0693836197921924,1.2510483450273453,1.0527478810400976,1.0130864589277429
9,0.865234375,128,0.8203125,2.34375,0.57421875,0.095078125,-4944.357421875,0.001015625,0.06953021817822219,1.2222514827032134,1.1433988299405806,1.091111736143692
10,2.212890625,64,0.8203125,2.34375,0.57421875,0.095078125,-1995.017578125,0.00214843749999995,0.033892023756589604,1.223412736528245,1.016822911249914,0.9967039702423441
11,2.212890625,128,0.7421875,2.34375,0.57421875,0.095078125,-3010.912109375,0.00177408854166665,0.06193141229372575,1.2173151081937792,1.028331795029438,0.9896291140386952
12,2.212890625,128,0.8203125,3.46875,0.57421875,0.095078125,-2675.078125,0.0019661458333333,0.0698506245869584,1.2636949606229368,1.0175167719413305,0.9714464226528445
13,2.212890625,128,0.8203125,2.34375,0.72265625,0.095078125,-2487.7001953125,0.0019824218750000002,0.06822553372331545,1.160209921006921,1.008204195031203,0.9782044288238594
14,2.212890625,128,0.8203125,2.34375,0.57421875,0.075390625,-3339.970703125,0.0016731770833333,0.0693836197921924,1.2510483450273453,1.0527478810400976,1.0130864589277429
15,0.865234375,64,0.7421875,3.46875,0.72265625,0.075390625,-4952.40234375,0.0009960937499999501,0.03163288660850845,1.24790757821004,1.2255841417579494,1.2107824388727302
16,3.150390625,32,1.0703125,3.34375,0.69921875,0.07257812500000001,5139.94140625,0.00490885416666665,0.01976304342779715,1.3240905232719045,0.7431785192810683,0.783800245251461
17,3.677734375,32,1.0703125,3.34375,0.69921875,0.07257812500000001,8044.05078125,0.0059895833333333,0.0185675914641447,1.2593348300391807,0.8422303652444377,0.8561211304218225
18,3.150390625,128,1.0703125,3.34375,0.69921875,0.07257812500000001,-385.4013671875,0.0028352864583333,0.08826084268192849,1.2863474752521693,0.9492311536290798,0.9193012465604062
19,3.150390625,32,0.9921875,3.34375,0.69921875,0.07257812500000001,5171.73046875,0.00488281249999995,0.01798486157628355,1.2655390871587442,0.7281520611014992,0.756969754890047
20,3.150390625,32,1.0703125,4.46875,0.69921875,0.07257812500000001,5992.62890625,0.00523437499999995,0.01948836775321785,1.2989195109349083,0.7126171463418058,0.7378120895491721
21,3.150390625,32,1.0703125,3.34375,0.59765625,0.07257812500000001,5519.8046875,0.00502604166666665,0.0193815946458391,1.2867114322997875,0.7347381684415745,0.7250227438742778
22,3.150390625,32,1.0703125,3.34375,0.69921875,0.09789062500000001,5139.94140625,0.00490885416666665,0.01976304342779715,1.3240905232719045,0.7431785192810683,0.783800245251461
23,3.677734375,128,0.9921875,4.46875,0.59765625,0.09789062500000001,-266.4365234375,0.00290690104166665,0.0825780578163482,1.283042666558675,0.9040446415288628,0.8762770007107947
24,1.275390625,64,0.5703125,1.34375,0.94921875,0.027578125000000002,-3896.38671875,0.00131510416666665,0.023167538508348448,1.2109139536874323,0.9042950893117487,0.9572399775281903
25,1.802734375,64,0.5703125,1.34375,0.94921875,0.027578125000000002,-3000.892578125,0.00162760416666665,0.0225866936883056,1.1870491808509107,0.9699091060861431,1.0229137701434916
26,1.275390625,64,0.5703125,1.34375,0.94921875,0.027578125000000002,-3896.38671875,0.00131510416666665,0.023167538508348448,1.2109139536874323,0.9042950893117487,0.9572399775281903
27,1.275390625,64,1.4921875,1.34375,0.94921875,0.027578125000000002,-1385.96875,0.0019075520833332998,0.049168896214908456,1.2024098644983878,1.097063110598902,1.1385140072870001
28,1.275390625,64,0.5703125,2.46875,0.94921875,0.027578125000000002,-4037.240234375,0.00119791666666665,0.022599121144708953,1.1924146534655171,1.0169338997495099,0.9605131202515079
29,1.275390625,64,0.5703125,1.34375,0.84765625,0.027578125000000002,-4116.78515625,0.0012109375,0.02304765237232905,1.237349327167477,0.8920485659464448,0.9369013216129949
30,1.275390625,64,0.5703125,1.34375,0.94921875,0.052890625000000004,-4175.994140625,0.00128906249999995,0.0240197416039492,1.1959803570786902,0.8542204771365256,0.8977172918658038
31,1.802734375,64,1.4921875,2.46875,0.84765625,0.052890625000000004,-1281.66015625,0.0023177083333333,0.058429483579821154,1.1507344717140169,0.9619716201238333,0.9261829311182561
32,1.744140625,8,0.9453125,1.84375,0.88671875,0.038828125000000005,13181.78125,0.00776041666666665,0.002547314544157,1.3452774956117088,1.080537501978848,1.1201370913691684
33,3.208984375,8,0.9453125,1.84375,0.88671875,0.038828125000000005,14650.078125,0.00812499999999995,0.0021100408112031998,1.3060671720257684,1.1168292388639105,1.1228755283606815
34,1.744140625,128,0.9453125,1.84375,0.88671875,0.038828125000000005,-2889.2412109375,0.0012337239583333,0.0607312165784587,1.1692242834306157,0.9593617072426556,0.9195480328347265
35,1.744140625,8,0.8671875,1.84375,0.88671875,0.038828125000000005,12713.546875,0.0076041666666666,0.00239851324873665,1.3165304729098968,1.1180768870433613,1.141885822665904
36,1.744140625,8,0.9453125,3.96875,0.88671875,0.038828125000000005,12708.78125,0.0075520833333332996,0.0025379653230323497,1.3132890038077205,0.8631979270934749,0.8663817439831805
37,1.744140625,8,0.9453125,1.84375,0.53515625,0.038828125000000005,13053.40625,0.0077083333333333,0.0025442630333208,1.3394972431877068,1.0480215422000576,1.0628307073990064
38,1.744140625,8,0.9453125,1.84375,0.88671875,0.04164062500000001,13181.78125,0.00776041666666665,0.002547314544157,1.3452774956117088,1.080537501978848,1.1201370913691684
39,3.208984375,128,0.8671875,3.96875,0.53515625,0.04164062500000001,-1092.69140625,0.002216796875,0.06235924120391134,1.2841197694806945,0.8626693580170955,0.7987110775168634
40,3.619140625,64,1.4453125,3.84375,0.63671875,0.083828125,4607.015625,0.004765625,0.05648967579726985,1.2478621707620647,0.7000265919518701,0.7550773081941593
41,1.333984375,64,1.4453125,3.84375,0.63671875,0.083828125,-2847.880859375,0.0018815104166666498,0.061857459141432355,1.2225551904953342,1.0686851042546737,1.0029714956637075
42,3.619140625,64,1.4453125,3.84375,0.63671875,0.083828125,4607.015625,0.004765625,0.05648967579726985,1.2478621707620647,0.7000265919518701,0.7550773081941593
43,3.619140625,64,1.3671875,3.84375,0.63671875,0.083828125,3543.435546875,0.0044075520833333,0.0553833460927781,1.2925645853192533,0.7820823950800688,0.7811000399864179
44,3.619140625,64,1.4453125,1.96875,0.63671875,0.083828125,3311.28125,0.0042317708333333,0.0566351468788574,1.2438726766101005,0.9805184166833124,1.0076297557973821
45,3.619140625,64,1.4453125,3.84375,0.78515625,0.083828125,3607.099609375,0.00436197916666665,0.0568025234765946,1.2380346068474313,0.8048993476213195,0.8210929076302962
46,3.619140625,64,1.4453125,3.84375,0.63671875,0.086640625,4607.015625,0.004765625,0.05648967579726985,1.2478621707620647,0.7000265919518701,0.7550773081941593
47,1.333984375,64,1.3671875,1.96875,0.78515625,0.086640625,-3276.947265625,0.0016536458333333,0.05736403579924805,1.169534215398286,1.0088652068651403,0.9459885112583334
48,2.681640625,32,0.6953125,2.84375,0.51171875,0.06132812500000001,3179.4453125,0.0041145833333333,0.01297232442865565,1.2072453532981564,0.6990405254515041,0.7413608969619088
49,2.271484375,32,0.6953125,2.84375,0.51171875,0.06132812500000001,1308.9921875,0.0034114583333333002,0.013426253953329699,1.270555723122814,0.8563862261668095,0.8288378421404254
50,2.681640625,16,0.6953125,2.84375,0.51171875,0.06132812500000001,10489.25,0.006770833333333301,0.004918187958696,1.2747663729632641,0.8782981940054022,0.8960167486661139
51,2.681640625,32,1.1171875,2.84375,0.51171875,0.06132812500000001,3552.73046875,0.00424479166666665,0.0206002221184691,1.1865381671313786,0.7746391984615326,0.7906403375326716
