n_robots,mean_final_net_energy,std_final_net_energy,mean_final_net_energy_per_robot,std_final_net_energy_per_robot,mean_throughput,std_throughput,mean_throughput_per_robot,std_throughput_per_robot,mean_mean_collision_probability,std_mean_collision_probability,mean_mean_active_fraction,std_mean_active_fraction,mean_mean_weighted_search_rest_ratio,std_mean_weighted_search_rest_ratio,mean_total_completed_deposit,std_total_completed_deposit,mean_total_collisions,std_total_collisions,seeds
8.0,55549.2,2925.6007220740153,6943.65,365.7000902592519,0.0392,0.0007774602526460405,0.0049,9.718253158075506e-05,0.003361346621286987,0.0001820971838040081,0.4217833333333333,0.02142231443041474,1.1990066559436345,0.06403445712628307,58.8,1.16619037896906,85.0,12.361229712289955,5.0
16.0,-6103.6,2606.836337402101,-381.475,162.9272710876313,0.04346666666666667,0.001066666666666667,0.0027166666666666667,6.666666666666668e-05,0.0089998056465227,0.0001829916801497014,0.48216666666666663,0.02941046912996195,1.2139106531106119,0.07839614084304981,65.2,1.5999999999999999,494.0,31.66701754191575,5.0
32.0,-115796.6,15217.255745205835,-3618.64375,475.53924203768236,0.05533333333333333,0.004258325179379016,0.0017291666666666666,0.00013307266185559426,0.01990411386543786,0.0002646587090651026,0.51935,0.009935673312195125,1.1666625456500592,0.02477087641003126,83.0,6.387487769068525,1941.2,63.57169181325914,5.0
64.0,-334639.65,10518.370204789335,-5228.74453125,164.34953444983336,0.07239999999999999,0.004057366414587452,0.0011312499999999999,6.339635022792893e-05,0.03953840288720456,0.00037516348780435846,0.5370583333333333,0.015820187250875938,1.200640706664533,0.028565001923144758,108.6,6.086049621881176,6354.6,131.35844091644816,5.0
128.0,-572931.6,23492.949219712707,-4476.028125,183.53866577900553,0.1052,0.009289420505786856,0.000821875,7.257359770145982e-05,0.06019519436113878,0.0008372421808394348,0.40241875,0.012648707714926415,1.1717844665378083,0.027205183127921143,157.8,13.934130758680285,13386.2,271.4696299772776,5.0
