method,sample_id,seed,perturbation,n_robots,gamma_r_scale,alpha,lambda_loss,congestion_tolerance,p_new_multiplier,sector_decay,sector_reward,sector_pull,final_net_energy,final_net_energy_per_robot,throughput,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,mean_active_fraction,total_completed_deposit,total_collisions
morris,0,7,base,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,281344.75,4396.01171875,0.2713333333333333,0.004239583333333333,0.05291112424436383,1.2299876295068668,0.5114479166666667,407.0,7559.0
morris,0,8,base,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,252940.5,3952.1953125,0.26,0.0040625,0.05222480987734976,1.23007172634282,0.5114479166666667,390.0,7343.0
morris,0,9,base,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,217802.75,3403.16796875,0.25266666666666665,0.003947916666666666,0.05384197127099195,1.2649482256686173,0.5223333333333333,379.0,7744.0
morris,0,7,n_robots,16,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,297813.25,18613.328125,0.13133333333333333,0.008208333333333333,0.007466632031058161,1.230264696157007,0.28725,197.0,301.0
morris,0,8,n_robots,16,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,309691.25,19355.703125,0.13666666666666666,0.008541666666666666,0.007994853276127267,1.2820677342771976,0.32329166666666664,205.0,362.0
morris,0,9,n_robots,16,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,323898.0,20243.625,0.142,0.008875,0.008232241735305365,1.4324029366562703,0.3155833333333333,213.0,368.0
morris,0,7,gamma_r_scale,64,0.8972138009695755,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,82021.0,1281.578125,0.20733333333333334,0.0032395833333333335,0.03455555057395756,1.15986123210673,0.49536458333333333,311.0,5663.0
morris,0,8,gamma_r_scale,64,0.8972138009695755,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,125251.5,1957.0546875,0.222,0.00346875,0.03460854604142008,1.265949932746504,0.49033333333333334,333.0,5543.0
morris,0,9,gamma_r_scale,64,0.8972138009695755,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,187976.25,2937.12890625,0.242,0.00378125,0.03439866434426453,1.263139805693209,0.5037708333333333,363.0,5588.0
morris,0,7,alpha,64,1.3972138009695754,0.6378428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,203428.0,3178.5625,0.24533333333333332,0.003833333333333333,0.052897584983808046,1.2786590955347994,0.50375,368.0,7529.0
morris,0,8,alpha,64,1.3972138009695754,0.6378428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,323087.0,5048.234375,0.2826666666666667,0.004416666666666667,0.05195870768089596,1.240880005457682,0.5013645833333333,424.0,7270.0
morris,0,9,alpha,64,1.3972138009695754,0.6378428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,364892.5,5701.4453125,0.29933333333333334,0.0046770833333333334,0.05296175459924061,1.3274541198860854,0.5244375,449.0,7494.0
morris,0,7,lambda_loss,64,1.3972138009695754,0.8878428451225968,3.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,288821.0,4512.828125,0.27266666666666667,0.004260416666666667,0.05248208287406016,1.258205500572716,0.5027916666666666,409.0,7360.0
morris,0,8,lambda_loss,64,1.3972138009695754,0.8878428451225968,3.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,292723.0,4573.796875,0.2713333333333333,0.004239583333333333,0.051513984927208704,1.1891156733518795,0.4854895833333333,407.0,7144.0
morris,0,9,lambda_loss,64,1.3972138009695754,0.8878428451225968,3.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,263306.75,4114.16796875,0.27066666666666667,0.004229166666666667,0.05489113934489876,1.3227016045540625,0.5208125,406.0,7900.0
morris,0,7,congestion_tolerance,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.08201496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,334860.25,5232.19140625,0.29133333333333333,0.004552083333333333,0.05371846748973659,1.2089764260750355,0.4968958333333333,437.0,7588.0
morris,0,8,congestion_tolerance,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.08201496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,359185.5,5612.2734375,0.302,0.00471875,0.054657598448821544,1.2441487092572276,0.5108645833333333,453.0,7977.0
morris,0,9,congestion_tolerance,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.08201496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.31882777150081854,265256.0,4144.625,0.26866666666666666,0.004197916666666667,0.05391060957791591,1.247429813371513,0.5087604166666667,403.0,7668.0
morris,0,7,p_new_multiplier,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,1.6508254202359822,0.0001053060913114945,1.687149732169841,0.31882777150081854,-131039.25,-2047.48828125,0.126,0.00196875,0.04999102530923658,1.2111467175276385,0.4947916666666667,189.0,6840.0
morris,0,8,p_new_multiplier,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,1.6508254202359822,0.0001053060913114945,1.687149732169841,0.31882777150081854,-121529.5,-1898.8984375,0.12866666666666668,0.002010416666666667,0.049797740623457445,1.1660397390424662,0.48313541666666665,193.0,6920.0
morris,0,9,p_new_multiplier,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,1.6508254202359822,0.0001053060913114945,1.687149732169841,0.31882777150081854,-70347.0,-1099.171875,0.148,0.0023125,0.050647780615534495,1.1760090480151042,0.4954375,222.0,7068.0
morris,0,7,sector_decay,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.010105306091311494,1.687149732169841,0.31882777150081854,281344.75,4396.01171875,0.2713333333333333,0.004239583333333333,0.05291112424436383,1.2299876295068668,0.5114479166666667,407.0,7559.0
morris,0,8,sector_decay,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.010105306091311494,1.687149732169841,0.31882777150081854,252940.5,3952.1953125,0.26,0.0040625,0.05222480987734976,1.23007172634282,0.5114479166666667,390.0,7343.0
morris,0,9,sector_decay,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.010105306091311494,1.687149732169841,0.31882777150081854,217802.75,3403.16796875,0.25266666666666665,0.003947916666666666,0.05384197127099195,1.2649482256686173,0.5223333333333333,379.0,7744.0
morris,0,7,sector_reward,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,0.812149732169841,0.31882777150081854,281344.75,4396.01171875,0.2713333333333333,0.004239583333333333,0.05291112424436383,1.2299876295068668,0.5114479166666667,407.0,7559.0
morris,0,8,sector_reward,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,0.812149732169841,0.31882777150081854,252940.5,3952.1953125,0.26,0.0040625,0.05222480987734976,1.23007172634282,0.5114479166666667,390.0,7343.0
morris,0,9,sector_reward,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,0.812149732169841,0.31882777150081854,217802.75,3403.16796875,0.25266666666666665,0.003947916666666666,0.05384197127099195,1.2649482256686173,0.5223333333333333,379.0,7744.0
morris,0,7,sector_pull,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.1188277715008185,281344.75,4396.01171875,0.2713333333333333,0.004239583333333333,0.05291112424436383,1.2299876295068668,0.5114479166666667,407.0,7559.0
morris,0,8,sector_pull,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.1188277715008185,252940.5,3952.1953125,0.26,0.0040625,0.05222480987734976,1.23007172634282,0.5114479166666667,390.0,7343.0
morris,0,9,sector_pull,64,1.3972138009695754,0.8878428451225968,1.9008287599623674,0.03701496564201029,3.525825420235982,0.0001053060913114945,1.687149732169841,0.1188277715008185,217802.75,3403.16796875,0.25266666666666665,0.003947916666666666,0.05384197127099195,1.2649482256686173,0.5223333333333333,379.0,7744.0
morris,1,7,base,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-126996.5,-1984.3203125,0.14533333333333334,0.0022708333333333335,0.03254424795110513,1.2014971158676122,0.5268541666666666,218.0,5620.0
morris,1,8,base,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-170209.5,-2659.5234375,0.132,0.0020625,0.032770539933471184,1.1712192083893593,0.522875,198.0,5583.0
morris,1,9,base,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-128454.5,-2007.1015625,0.14533333333333334,0.0022708333333333335,0.032655626562607426,1.1913046384211337,0.5125208333333333,218.0,5677.0
morris,1,7,n_robots,128,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-443283.5,-3463.15234375,0.21333333333333335,0.0016666666666666668,0.061702025558139716,1.2284681484584832,0.53496875,320.0,16866.0
morris,1,8,n_robots,128,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-438290.0,-3424.140625,0.21733333333333332,0.0016979166666666666,0.062164641056793396,1.1997615687785756,0.5285104166666666,326.0,17211.0
morris,1,9,n_robots,128,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.31706476768550124,-444779.5,-3474.83984375,0.21866666666666668,0.0017083333333333334,0.06290078728337689,1.2044005665166877,0.5502135416666667,328.0,17411.0
